X,Y,Z,FALL,ACTION
-0.00,-0.00,1.00,True,FALLING_BACKWARDS
0.17,0.10,1.02,True,FALLING_BACKWARDS
-0.03,-0.02,1.00,True,FALLING_BACKWARDS
0.00,0.00,1.00,True,FALLING_BACKWARDS
-0.11,-0.07,0.99,True,FALLING_BACKWARDS
-0.07,0.04,1.76,True,FALLING_BACKWARDS
-0.41,-0.17,1.16,True,FALLING_BACKWARDS
-0.42,0.03,1.04,True,FALLING_BACKWARDS
-0.44,0.09,1.17,True,FALLING_BACKWARDS
-0.43,-0.04,0.80,True,FALLING_BACKWARDS
-0.40,0.19,0.78,True,FALLING_BACKWARDS
-0.51,0.44,0.58,True,FALLING_BACKWARDS
-0.35,0.30,0.49,True,FALLING_BACKWARDS
-0.42,0.43,0.46,True,FALLING_BACKWARDS
-0.47,0.55,0.45,True,FALLING_BACKWARDS
-0.36,0.37,0.32,True,FALLING_BACKWARDS
-0.44,0.43,0.44,True,FALLING_BACKWARDS
-0.44,0.43,0.57,True,FALLING_BACKWARDS
-0.47,0.55,0.69,True,FALLING_BACKWARDS
-0.46,0.66,0.77,True,FALLING_BACKWARDS
-0.44,0.47,0.68,True,FALLING_BACKWARDS
-0.35,0.40,0.74,True,FALLING_BACKWARDS
-0.34,0.46,0.90,True,FALLING_BACKWARDS
-0.44,0.59,0.85,True,FALLING_BACKWARDS
-0.21,0.70,0.71,True,FALLING_BACKWARDS
-0.27,0.70,0.76,True,FALLING_BACKWARDS
-0.31,0.60,0.53,True,FALLING_BACKWARDS
-0.40,0.66,0.43,True,FALLING_BACKWARDS
-0.44,0.43,0.33,True,FALLING_BACKWARDS
-0.36,0.35,0.31,True,FALLING_BACKWARDS
-0.46,0.61,0.79,True,FALLING_BACKWARDS
-0.71,0.60,0.99,True,FALLING_BACKWARDS
-0.38,0.53,1.05,True,FALLING_BACKWARDS
-0.50,0.12,-0.27,True,FALLING_BACKWARDS
-0.12,-0.03,1.09,True,FALLING_BACKWARDS
-0.81,0.58,1.26,True,FALLING_BACKWARDS
0.01,0.04,0.78,True,FALLING_BACKWARDS
0.12,-0.42,0.90,True,FALLING_BACKWARDS
-0.19,0.07,1.15,True,FALLING_BACKWARDS
-0.09,-0.04,1.30,True,FALLING_BACKWARDS
-0.13,-0.20,1.54,True,FALLING_BACKWARDS
-0.30,-0.30,1.36,True,FALLING_BACKWARDS
0.02,-0.41,1.56,True,FALLING_BACKWARDS
0.15,-0.60,0.46,True,FALLING_BACKWARDS
0.71,-0.69,1.34,True,FALLING_BACKWARDS
0.86,-1.19,0.04,True,FALLING_BACKWARDS
0.54,-0.59,0.84,True,FALLING_BACKWARDS
0.55,-0.86,0.51,True,FALLING_BACKWARDS
0.49,-0.93,0.72,True,FALLING_BACKWARDS
0.29,-0.68,0.82,True,FALLING_BACKWARDS
0.34,-0.77,0.74,True,FALLING_BACKWARDS
0.19,-0.56,0.66,True,FALLING_BACKWARDS
0.22,-0.61,0.83,True,FALLING_BACKWARDS
0.15,-0.50,0.77,True,FALLING_BACKWARDS
0.21,-0.61,0.83,True,FALLING_BACKWARDS
0.15,-0.58,0.66,True,FALLING_BACKWARDS
0.20,-0.71,0.80,True,FALLING_BACKWARDS
0.19,-0.70,0.74,True,FALLING_BACKWARDS
0.23,-0.73,0.89,True,FALLING_BACKWARDS
0.24,-0.67,0.81,True,FALLING_BACKWARDS